"Drug Name","NDC #","Total Rxs","Quantity","Total",
"MOUNJARO 7.5 MG/0.5ML PEN-INJECTOR","00002-1484-80","34","88","45353.92"
"TRESIBA FLEXTOUCH 200UNIT/ML INJECTION****","00169-2550-13","12","66","2982.75"
"TRULICITY 0.75MG/0.5ML INJECTION","00002-1433-80","16","60","28431.17"
"NOVOLIN N 100UNIT/ML SUSPENSION","00169-1834-11","3","60","274.65"
"DILANTIN 100MG CAPSULE****","00071-0369-24","1","60","95.77"
"ADVAIR HFA 230-21 MCG/ACT INHALATION AEROSOL","00173-0717-20","5","60","2154.65"
"MOVANTIK 25MG TABLET","82625-8802-01","2","60","856.33"
"PAXLOVID (300/100) 20 X 150 MG & 10 X 100MG TABLET THERAPY PACK","00069-5045-30","2","60","2723.47"
"XULTOPHY 100-3.6UNIT INJECTION","00169-2911-15","2","60","5004.12"
"SUNOSI 150 MG ORAL TABLET","81968-0351-01","2","60","1843.50"
"QULIPTA 30 MG ORAL TABLET","00074-7096-30","2","60","2261.62"
"IBSRELA 50 MG ORAL TABLET","73154-0050-60","1","60","1965.36"
"JANUMET XR 50-1000MG TABLET","00006-0080-61","1","60","313.79"
"EYSUVIS 0.25 % OPHTHALMIC SUSPENSION","71571-0333-83","7","58.1","3476.58"
"MOUNJARO 10 MG/0.5ML PEN-INJECTOR","00002-1471-80","25","58","29985.47"
"SEMGLEE (YFGN) 100 UNIT/ML PEN-INJECTOR","83257-0012-33","2","57","1375.86"
"SIMBRINZA 1-0.2 % OPHTHALMIC SUSPENSION","00065-4147-27","7","56","1506.29"
"RESTASIS MULTIDOSE 0.05 % OPHTHALMIC EMULSION","00023-5301-05","10","55","6103.46"
"FREESTYLE LIBRE 3 SENSOR","57599-0818-00","27","54","4282.20"
"VYZULTA 0.024 % OPHTHALMIC SOLUTION","24208-0504-02","13","52.5","5290.49"
"COMBIGAN 0.2-0.5% OPTH SOLUTION 10ML","00023-9211-10","5","50","1927.63"
"UBRELVY 50 MG ORAL TABLET","00023-6498-10","3","50","5368.51"
"SUTAB 1479-225-188 MG ORAL TABLET","52268-0201-01","2","48","332.01"
"TRULICITY 3MG/0.5ML INJECTION","00002-2236-80","12","44","20513.42"
"REPATHA SURECLICK 140 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR","72511-0393-02","16","44","11932.43"
"TRULICITY 4.5 MG/0.5ML SOLUTION","00002-3182-80","7","42","19264.27"
"MOUNJARO 12.5 MG/0.5ML PEN-INJECTOR","00002-1460-80","20","40","20698.13"
"TRESIBA FLEXTOUCH 100UNIT/ML INJECTION****","00169-2660-15","3","39","1225.45"
"DULERA 200-5 MCG/ACT INH AEROSOL 13GM","78206-0126-01","1","39","994.52"
"TRULICITY 1.5MG/0.5ML INJECTION","00002-1434-80","13","34","16301.74"
"MOUNJARO 2.5 MG/0.5ML PEN-INJECTOR","00002-1506-80","13","34","17564.82"
"ZAFEMY 150-35 MCG/24HR TRANSDERMAL PATCH WEEKLY","65162-0358-03","7","33","1097.75"
"JUBLIA 10 % EXTERNAL SOLUTION","00187-5400-08","4","32","6372.66"
"RHOPRESSA 0.02 % OPHTHALMIC SOLUTION","70727-0497-25","6","30","3817.87"
"ALPHAGAN P 0.15 % OPHTHALMIC SOLUTION","00023-9177-15","2","30","1216.81"
"QELBREE 100MG CAPSULE ER","17772-0131-30","1","30","352.65"
"VRAYLAR 4.5 MG ORAL CAPSULE","61874-0145-30","1","30","1465.59"
"KLOXXADO 8 MG/0.1ML NASAL LIQUID","59467-0679-01","15","30","1849.89"
"XCOPRI 200 MG ORAL TABLET","71699-0200-30","1","30","1191.04"
"SYNTHROID 125 MCG ORAL TABLET","00074-7068-90","1","30","50.43"
"ARNUITY ELLIPTA 50 MCG/ACT INHAEROSOL","00173-0888-10","1","30","209.76"
"REXULTI 0.5 MG ORAL TABLET","59148-0036-13","1","30","1480.31"
"VOQUEZNA 10 MG ORAL TABLET","81520-0100-30","1","30","668.72"
"OMNIPOD 5 G6 POD (GEN 5)","08508-3000-21","1","30","1769.76"
"XCOPRI 14 X 150 MG & 14 X200 MG ORAL TABLET THERAPY PACK","71699-0203-28","1","28","1146.13"
"INTRAROSA 6.5 MG VAGINAL INSERT","72495-0401-28","1","28","348.05"
"MOUNJARO 15 MG/0.5ML PEN-INJECTOR","00002-1457-80","13","26","13638.13"
"WEGOVY 2.4 MG/0.75ML AUTO-INJECTOR","00169-4524-14","8","24","10244.60"
"DOTTI 0.1 MG/24HR TRANSDERMAL PATCH TWICE WEEKLY","65162-0997-08","3","24","156.47"
"ROCKLATAN 0.02-0.005% SOLUTION","70727-0529-25","5","22.5","3078.83"
"NOVOLOG MIX 70/30 FLEXPEN 100 UNIT/ML PEN-INJECTOR","00169-3696-19","2","21","181.89"
"LUMIGAN 0.01 % OPHTHALMIC SOLUTION","00023-3205-05","4","20","2019.92"
"SHINGRIX 50 MCG/0.5ML IM SUSP RECON","58160-0823-11","16","16","3397.36"
"XOPENEX HFA 45 MCG/ACT INHALATION AEROSOL","27437-0056-01","1","15","70.72"
"ZEPBOUND 10 MG/0.5ML AUTO-INJECTOR","00002-2471-80","7","14","7353.66"
"TOUJEO SOLOSTAR 300UNIT/ML INJECTION","00024-5869-03","3","13.5","1168.53"
"FREESTYLE LIBRE 3 PLUS SENSOR","57599-0844-00","6","12","936.98"
"WEGOVY 1.7 MG/0.75ML AUTO-INJECTOR","00169-4517-14","4","12","5041.00"
"HUMULIN R U-500 KWIKPEN 500UNIT/ML INJECTION","00002-8824-27","2","12","1087.52"
"ACTEMRA ACTPEN 162 MG/0.9ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR","50242-0143-01","6","10.8","13891.54"
"DELESTROGEN 20 MG/ML INTRAMUSCULAR OIL","42023-0111-01","2","10","379.32"
"RASUVO 20MG/0.4ML INJECTION","59137-0530-04","6","9.6","3296.32"
"ZEPBOUND 7.5 MG/0.5ML AUTO-INJECTOR","00002-2484-80","4","8","4198.77"
"DOTTI 0.05 MG/24HR TRANSDERMAL PATCH TWICE WEEKLY","65162-0993-08","1","8","0.00"
"SPIRIVA RESPIMAT 2.5MCG/ACT AEROSOL***","00597-0100-61","2","8","1029.78"
"LUMIGAN 0.01% SOLUTION****","00023-3205-03","3","7.5","740.07"
"VEVYE 0.1 % OPHTHALMIC SOLUTION","82667-0900-02","3","6","2191.00"
"WEGOVY 1 MG/0.5ML AUTO-INJECTOR","00169-4501-14","2","4","2520.50"
"EPINEPHRINE (JR) 0.15MG/0.3ML INJECTION 2ML","49502-0101-02","2","4","590.06"
"ZEPBOUND 12.5 MG/0.5ML AUTO-INJECTOR","00002-2460-80","2","4","2104.06"
"PREVNAR 20 0.5 ML PREFILLED SYRINGE","00005-2000-10","7","3.5","1907.92"
"PODOFILOX 0.5 % EXTERNAL GEL","00574-0621-05","1","3.5","479.56"
"PROCRIT 10000 UNIT/ML INJECTION SOLUTION","59676-0310-01","1","3","750.10"
"AFLURIA PRESERVATIVE FREE 0.5 ML INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","33332-0025-03","5","2.5","104.14"
"NAYZILAM 5 MG/0.1ML NASAL SOLUTION","50474-0500-15","1","2","648.74"
"ACCU-CHEK GUIDE W/DEVICE KIT","65702-0729-10","2","2","42.59"
"PREVNAR 20 0.5 ML INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","00005-2000-02","4","2","1170.18"
"PROLIA 60 MG/ML SUBCUTANEOUS SOLUTION PREFILLED SYRINGE","55513-0710-21","2","2","3551.53"
"DEXCOM G7 RECEIVER DEVICE","08627-0078-01","2","2","597.07"
"AREXVY 120 MCG/0.5ML INTRAMUSCULAR SUSPENSION RECONSTITUTED","58160-0848-11","2","2","594.90"
"ZEPBOUND 2.5 MG/0.5ML AUTO-INJECTOR","00002-2506-80","1","2","1048.23"
"ZEPBOUND 5 MG/0.5ML AUTO-INJECTOR","00002-2495-80","1","2","1048.23"
"FREESTYLE FREEDOM LITE  KIT KINRAY*****","99073-0709-14","1","1","13.81"
"FREESTYLE LIBRE 3 READER DEVICE","57599-0820-00","1","1","70.00"
"ELLA 30 MG ORAL TABLET","73302-0456-01","1","1","38.18"
"GARDASIL 9 INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","00006-4121-02","2","1","665.90"
"OMNIPOD 5 G6 INTRO (GEN 5) KIT","08508-3000-01","1","1","590.01"
"BOOSTRIX 5-2.5-18.5 LF-MCG/0.5 PREFILLED SYRINGE","58160-0842-52","1","0.5","45.29"
