"Drug Name","NDC #","Total Rxs","Quantity","Total",
"CALCIUM CARBONATE 500MG TABLET CHEWABLE","00536-1007-15","3","390","36.56"
"LOSARTANHCTZ 100-12.5 MG TABLET","33342-0051-44","5","390","49.70"
"HYDROXYZINE HCL 25MG TABLET","23155-0501-10","6","367","36.59"
"LISINOPRIL-HCTZ 20-25MG TAB ***","68180-0520-02","5","360","47.50"
"SACUBITRIL-VALSARTAN 97-103 MG ORAL TABLET","72205-0282-60","2","360","342.51"
"GLIPIZIDE 10MG TAB ***","60505-0142-01","4","360","11.87"
"DONEPEZIL 10MG TAB ***","43547-0276-11","6","360","11.30"
"ROSUVASTATIN 5MG TABLET","70377-0006-13","6","360","22.65"
"SYSTANE PRESERVATIVE FREE 0.4-0.3 % OPHTHALMIC SOLUTION","00065-0431-33","11","360","161.65"
"METFORMIN 850 MG TABLET","70010-0064-10","2","360","6.84"
"JANUVIA 50MG TABLET","00006-0112-31","5","360","1417.46"
"ICOSAPENT ETHYL 1GM CAPSULE","60505-4033-01","1","360","205.20"
"SACUBITRIL-VALSARTAN 49-51 MG ORAL TABLET","43598-0644-18","2","360","387.85"
"CLONAZEPAM 2MG TABLET","59651-0724-05","5","350","40.13"
"ZOLPIDEM TARTRATE 10MG TAB ***","13668-0008-05","12","345","17.52"
"LINZESS 290MCG CAP ***","00456-1202-30","7","330","2962.83"
"SERTRALINE 25MG TABLET","65862-0011-05","7","330","37.52"
"LISINOPRIL 40MG TABLET","68180-0979-03","5","330","23.71"
"SERTRALINE 100MG TABLET","65862-0013-05","6","330","34.92"
"LEVOTHYROXINE 125MCG TABLET","68180-0971-03","5","330","74.43"
"METFORMIN ER 500MG TAB ***","62756-0142-02","4","330","30.73"
"GABAPENTIN 600MG TABLET","65862-0523-05","5","330","52.51"
"METOPROLOL SUCCINATE ER 200MG TABLET","70010-0783-05","4","330","107.55"
"TRIAMCINOLONE ACETONIDE 0.025 % EXTERNAL CREAM ***","45802-0063-36","4","320","35.00"
"VITAMIN D 50 000 U CAPSULE","64380-0737-06","44","314","310.20"
"FLUTICASONE-SALMETEROL 250-50 MCG/ACT INH AEROSOL","00054-0327-56","5","300","293.46"
"MIRTAZAPINE 15MG TABLET","13107-0031-05","8","300","44.21"
"KETOCONAZOLE 2% CREAM","00168-0099-60","5","300","118.85"
"HYDROCORTISONE 2.5% CREAM","00168-0080-31","9","300","43.73"
"NIFEDIPINE 60MG TABLET ER","50742-0261-03","4","300","61.94"
"METHYLIN 5 MG/5ML ORAL SOLUTION","59630-0750-50","1","300","33.43"
"QUETIAPINE 50MG TABLET","67877-0249-10","5","300","39.51"
"FUROSEMIDE 40 MG TABLET","69315-0117-10","4","300","27.99"
"IPRATROPIUM BROMIDE 0.02 % INHALATION SOLUTION","76204-0100-30","1","300","52.17"
"GLIPIZIDE 5MG TAB ***","60505-0141-01","4","300","18.81"
"METFORMIN ER 500MG TABLET **","67877-0159-05","4","300","58.55"
"CLOBETASOL PROPIONATE 0.05 % SOLUTION","33342-0321-86","6","300","243.64"
"ONETOUCH ULTRA BLUE  STRIP*****","53885-0244-50","1","300","454.58"
"LANCETS PHARMACIST CHOICE","98302-0001-04","1","300","111.39"
"GLIPIZIDE ER 5 MG TABLET","64980-0280-01","4","300","22.19"
"SODIUM CHLORIDE 0.9 % INHALATION NEBULIZATION SOLUTION","76204-0300-03","1","300","19.83"
"BUPROPION HCL ER (XL) 150MG","68180-0319-02","6","291","57.22"
"QUETIAPINE FUMARATE 100MG TABLET","67877-0250-01","6","285","39.10"
"JUNEL FE 1/20 1-20MG TABLET****","00555-9026-58","4","280","66.26"
"IBUPROFEN 400MG TABLET","67877-0319-05","9","278","71.09"
"ENALAPRIL 20MG TABLET","23155-0773-10","3","270","37.60"
"MEMANTINE 5MG TABLET","61442-0192-05","4","270","36.60"
"TRADJENTA 5MG TAB ***","00597-0140-30","3","270","4356.45"
"TIZANIDINE 2MG TABLET","57664-0502-89","7","270","41.92"
"LISINOPRIL 10MG TABLET","68180-0980-03","3","270","14.60"
"DULOXETINE 30MG  CAPSULE DR","68180-0295-03","6","270","31.42"
"CITALOPRAM 10MG TABLET","69097-0822-12","3","270","6.75"
