"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"LISINOPRIL 20MG TABLET","68180-0981-03","-29105","108","8220","8220.00","485.97","-1591.46%","-94.09%","0","1000"
"LANCETS EASY COMFORT","91237-0001-16","-57200","63","8200","4510.00","2553.37","-76.63%","-43.38%","0","100"
"ACETAMINOPHEN EXTRA STRENGTH 500 MG ORAL TABLET","00904-6730-80","-20313","87","8195","172.09","1005.05","82.88%","484.03%","0","1000"
"LACTULOSE 10 GM/15ML ORAL SOLUTION","00116-4005-16","-8048","18","8048","507.72","177.92","-185.36%","-64.96%","0","473"
"OYSTER SHELL CALCIUM/D TABLET****","00904-5460-80","-26450","59","8040","206.36","186.38","-10.72%","-9.68%","0","1000"
"FARXIGA 10MG TABLET****","00310-6210-30","-22408","110","7980","178220.00","134490.58","-32.51%","-24.54%","0","30"
"FAMOTIDINE 40MG TABLET","00172-5729-70","-39267","152","7927","37111.04","750.07","-4847.68%","-97.98%","0","500"
"METFORMIN ER 500MG TAB ***","62756-0142-02","-36870","76","7770","4052.32","661.03","-513.03%","-83.69%","0","500"
"ICOSAPENT ETHYL 1GM CAPSULE","60505-4033-01","-14040","28","7440","20119.00","4322.88","-365.41%","-78.51%","0","120"
"CLOPIDOGREL 75 MG TABLET","55111-0196-05","-38495","97","7410","59280.00","684.52","-8560.08%","-98.85%","0","500"
"SACUBITRIL-VALSARTAN 24-26 MG ORAL TABLET","72205-0280-60","-7560","46","7380","86459.16","9720.46","-789.46%","-88.76%","0","60"
"LISINOPRIL 10MG TABLET","68180-0980-03","-27101","100","7290","5021.13","356.60","-1308.06%","-92.9%","0","1000"
"LINZESS 145MCG CAPSULE***","00456-1201-30","-14670","179","7260","157300.00","106426.23","-47.8%","-32.34%","0","30"
"MONTELUKAST 10MG TAB ***","29300-0220-10","-7350","122","7260","35276.34","917.38","-3745.34%","-97.4%","0","1000"
"IBUPROFEN 600 MG TABLET","69367-0395-05","-7606","149","7251","3414.40","835.52","-308.66%","-75.53%","0","500"
"MECLIZINE HCL 25MG TABLET","59746-0121-10","-12254","112","7044","2431.03","820.51","-196.28%","-66.25%","0","1000"
"PEN NEEDLE 31G X 4 MM QUICK TOUCH INSULIN","73317-6666-04","-7009","59","7009","8924.56","8054.73","-10.8%","-9.75%","0","100"
"ELIQUIS 2.5MG TAB ***","00003-0893-21","-17552","64","6960","75400.00","52327.48","-44.09%","-30.6%","0","60"
"MELOXICAM 15MG TAB ***","69097-0159-12","-18943","215","6939","23527.97","963.77","-2341.24%","-95.9%","0","500"
"ALCOHOL PADS EASY COMFORT  ALPINE *****","91237-0001-28","-26900","47","6800","4080.00","1467.29","-178.06%","-64.04%","0","100"
"METOPROLOL SUCCINATE ER 100MG TABLET","72516-0032-10","-14460","89","6765","11024.72","1214.72","-807.59%","-88.98%","0","1000"
