"Drug Name","NDC #","Total Rxs","Quantity","Total",
"DEXCOM G7 SENSOR","08627-0077-01","13","45","5665.40"
"COMBIGAN 0.2-0.5% OPTH SOLUTION 10ML","00023-9211-10","4","40","1542.79"
"NOVOLIN N 100UNIT/ML SUSPENSION","00169-1834-11","2","40","183.10"
"TRESIBA FLEXTOUCH 100UNIT/ML INJECTION****","00169-2660-15","3","39","1225.45"
"DULERA 200-5 MCG/ACT INH AEROSOL 13GM","78206-0126-01","1","39","994.52"
"TRULICITY 0.75MG/0.5ML INJECTION","00002-1433-80","10","36","17160.70"
"ADVAIR HFA 230-21 MCG/ACT INHALATION AEROSOL","00173-0717-20","3","36","1292.60"
"VYZULTA 0.024 % OPHTHALMIC SOLUTION","24208-0504-02","8","35","3531.41"
"MOUNJARO 10 MG/0.5ML PEN-INJECTOR","00002-1471-80","13","34","17710.99"
"EYSUVIS 0.25 % OPHTHALMIC SUSPENSION","71571-0333-83","4","33.2","1992.34"
"FREESTYLE LIBRE 3 SENSOR","57599-0818-00","16","32","2440.30"
"SIMBRINZA 1-0.2 % OPHTHALMIC SUSPENSION","00065-4147-27","4","32","868.72"
"TRESIBA FLEXTOUCH 200UNIT/ML INJECTION****","00169-2550-13","6","30","1231.22"
"QELBREE 150MG CAPSULE ER","17772-0132-30","1","30","370.77"
"QELBREE 100MG CAPSULE ER","17772-0131-30","1","30","352.65"
"VEOZAH 45 MG ORAL TABLET","00469-2660-30","1","30","537.48"
"PAXLOVID (300/100) 20 X 150 MG & 10 X 100MG TABLET THERAPY PACK","00069-5045-30","1","30","1400.29"
"VRAYLAR 4.5 MG ORAL CAPSULE","61874-0145-30","1","30","1465.59"
"KLOXXADO 8 MG/0.1ML NASAL LIQUID","59467-0679-01","15","30","1849.89"
"XULTOPHY 100-3.6UNIT INJECTION","00169-2911-15","1","30","2510.11"
"XCOPRI 200 MG ORAL TABLET","71699-0200-30","1","30","1191.04"
"SYNTHROID 125 MCG ORAL TABLET","00074-7068-90","1","30","50.43"
"SYNJARDY XR 25-1000MG TABLET*****","00597-0295-88","1","30","332.82"
"ARNUITY ELLIPTA 50 MCG/ACT INHAEROSOL","00173-0888-10","1","30","209.76"
"REXULTI 0.5 MG ORAL TABLET","59148-0036-13","1","30","1480.31"
"SUNOSI 150 MG ORAL TABLET","81968-0351-01","1","30","949.78"
"VOQUEZNA 10 MG ORAL TABLET","81520-0100-30","1","30","668.72"
"INTRAROSA 6.5 MG VAGINAL INSERT","72495-0401-28","1","28","348.05"
"REPATHA SURECLICK 140 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR","72511-0393-02","9","26","7089.27"
"MOUNJARO 12.5 MG/0.5ML PEN-INJECTOR","00002-1460-80","12","24","12400.51"
"TRULICITY 3MG/0.5ML INJECTION","00002-2236-80","6","24","11254.98"
"TRULICITY 4.5 MG/0.5ML SOLUTION","00002-3182-80","4","24","11035.57"
