"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"LOSARTAN 50MG TABLET","65862-0202-99","-45024","12","780","1517.70","71.18","-2032.2%","-95.31%","0","1000"
"EZETIMIBE 10MG TABLET***","67877-0490-05","-37611","10","780","6896.50","137.56","-4913.45%","-98.01%","0","500"
"ESCITALOPRAM 10MG TABLET","13668-0136-10","-18130","13","765","2846.50","79.68","-3472.41%","-97.2%","0","1000"
"METOPROLOL SUCCINATE 50MG TABLET ER","45963-0676-96","-40237","9","750","679.67","86.91","-682.04%","-87.21%","0","1000"
"ROSUVASTATIN 10 MG ORAL TABLET","69367-0360-05","-2260","9","750","5555.58","71.37","-7684.2%","-98.72%","0","500"
"LOSARTAN HCTZ 100-25MG TABLET","00093-7368-10","-12314","9","750","2198.00","121.95","-1702.38%","-94.45%","0","1000"
"LOSARTAN POTASSIUM 25MG TABLET","68180-0376-03","-37355","13","720","1041.84","42.24","-2366.48%","-95.95%","0","1000"
"LOSARTAN-HCTZ 50-12.5 MG TABLET","33342-0050-44","-9960","10","720","1548.65","70.15","-2107.63%","-95.47%","0","1000"
"LINZESS 290MCG CAP ***","00456-1202-30","-11850","12","720","14400.00","6441.84","-123.54%","-55.26%","0","30"
"NA SULFATE-K SULFATE-MG SULF 17.5-3.13-1.6 GM/177ML ORAL SOLUTION","67877-0725-92","-9558","2","708","202.44","102.16","-98.16%","-49.54%","0","354"
"FAMOTIDINE 40MG TABLET","70756-0052-12","-5234","13","690","2778.12","53.47","-5095.66%","-98.08%","0","1000"
"AMMONIUM LACTATE 12 % EXTERNAL LOTION","51672-1300-05","-26725","3","675","180.00","29.86","-502.81%","-83.41%","0","225"
"ALBUTEROL SULFATE HFA 108 (90 BASE)MCG/ACT AEROSOL","68180-0963-01","-22186","61","663","6630.00","1450.67","-357.03%","-78.12%","0","8.5"
"GLIPIZIDE 10MG TAB ***","60505-0142-01","-14776","6","660","261.51","14.71","-1677.77%","-94.37%","0","1000"
"NIFEDIPINE 60MG TABLET ER","50742-0261-03","-17733","8","630","1228.02","109.47","-1021.79%","-91.09%","0","300"
"ACCU-CHEK GUIDE IN VITRO STRIP","65702-0711-10","-5900","4","600","247.68","228.09","-8.59%","-7.91%","0","50"
"LANCETS PRODIGY","08484-0810-28","-136900","4","600","61.32","55.79","-9.91%","-9.02%","0","100"
"SODIUM CHLORIDE 0.9 % INHALATION NEBULIZATION SOLUTION","76204-0300-03","-29700","2","600","47.30","39.66","-19.26%","-16.15%","0","300"
"LISINOPRIL 20MG TABLET","68180-0981-03","-28415","8","600","600.00","44.72","-1241.68%","-92.55%","0","1000"
"HYDROXYZINE HCL 25MG TABLET","23155-0501-10","-15823","8","570","317.56","53.01","-499.06%","-83.31%","0","1000"
"GABAPENTIN 400MG CAP ***","67877-0224-05","-3480","7","570","640.80","38.81","-1551.12%","-93.94%","0","500"
"SIMVASTATIN 40MG TABLET","16729-0006-17","-21538","7","570","2802.75","65.93","-4151.1%","-97.65%","0","1000"
"LISINOPRIL-HCTZ 20-12.5MG TAB ***","68180-0519-02","-13230","6","570","483.99","36.12","-1239.95%","-92.54%","0","500"
"CYCLOBENZAPRINE 10MG TABLET","72888-0014-00","-4075","10","565","530.35","52.66","-907.12%","-90.07%","0","1000"
"CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % EXTERNAL CREAM","00168-0258-46","-15660","11","540","1200.00","223.59","-436.7%","-81.37%","0","45"
"SACUBITRIL-VALSARTAN 97-103 MG ORAL TABLET","72205-0282-60","-3180","3","540","6341.58","304.20","-1984.67%","-95.2%","0","60"
"FINASTERIDE 5MG TAB ***","16729-0090-16","-23396","8","540","1181.65","36.03","-3179.63%","-96.95%","0","500"
"KERENDIA 10 MG TABLET","50419-0540-01","-9600","6","540","13140.00","12198.57","-7.72%","-7.16%","0","30"
"CARVEDILOL 3.125MG TAB ***","68382-0092-05","-12450","4","510","1224.00","5.58","-21835.48%","-99.54%","0","500"
"METFORMIN ER 500MG TABLET **","67877-0159-05","-2670","5","510","339.71","41.32","-722.14%","-87.84%","0","500"
"BACLOFEN 10MG TAB ***","00172-4096-80","-15325","8","510","992.26","36.63","-2608.87%","-96.31%","0","1000"
"HYDRALAZINE HCL 25 MG TABLET","23155-0833-10","-3270","4","510","222.36","20.95","-961.38%","-90.58%","0","1000"
"CHLORTHALIDONE 25MG TABLET","70756-0011-12","-2175","7","510","529.26","86.10","-514.7%","-83.73%","0","1000"
"ATOVAQUONE 750 MG/5ML ORAL SUSPENSION","31722-0629-21","-5730","2","510","3293.24","323.34","-918.51%","-90.18%","0","210"
"FUROSEMIDE 20MG TAB ***","69315-0116-10","-11510","8","490","48.02","45.32","-5.96%","-5.62%","0","1000"
"SACUBITRIL-VALSARTAN 24-26 MG ORAL TABLET","72205-0280-60","-6480","3","480","5623.36","620.74","-805.91%","-88.96%","0","60"
"ELIQUIS 2.5MG TAB ***","00003-0893-21","-16532","4","480","5200.00","1988.51","-161.5%","-61.76%","0","60"
"TRELEGY ELLIPTA 200-62.5-25 MCG/ACT INHALATION AER","00173-0893-10","-6840","4","480","5118.00","5211.22","1.79%","1.82%","0","60"
"LACTULOSE ENCEPHALOPATHY 10 GM/15ML ORAL SOLUTION","64980-0592-48","-9460","1","473","29.84","16.05","-85.92%","-46.21%","0","473"
"HYDROCORTISONE 1 % EXTERNAL CREAM","00168-0015-16","-907.2001","1","453.6","61.92","27.09","-128.57%","-56.25%","0","453.6"
"HYDROCHLOROTHIAZIDE 12.5MG CAPSULE","50228-0146-10","-25800","5","450","155.90","30.51","-410.98%","-80.43%","0","1000"
"LISINOPRIL 5MG TABLET","68180-0513-03","-16740","4","450","299.89","14.74","-1934.53%","-95.08%","0","1000"
"LANTUS SOLOSTAR 100UNIT/ML INJECTION******","00088-2219-05","-5706","28","435","15370.00","2643.86","-481.35%","-82.8%","0","15"
"SUCRALFATE 1GM TAB ***","00093-2210-05","-5446","3","420","281.10","54.29","-417.77%","-80.69%","0","500"
"GLIPIZIDE ER 10MG TABLET","59651-0782-05","-2220","5","420","290.88","59.46","-389.2%","-79.56%","0","500"
"LISINOPRIL-HCTZ 20-25MG TAB ***","68180-0520-02","-13820","6","420","361.02","22.26","-1521.83%","-93.83%","0","500"
"SIMVASTATIN 10MG TABLET","70377-0002-15","-9660","6","420","1016.96","8.79","-11469.51%","-99.14%","0","1000"
"TOPIRAMATE 25MG TABLET","68382-0138-05","-7484","5","420","922.79","33.25","-2675.31%","-96.4%","0","500"
"SACUBITRIL-VALSARTAN 24-26 MG ORAL TABLET","72205-0280-18","-1380","3","420","4920.46","272.51","-1705.61%","-94.46%","0","180"
"DONEPEZIL 5MG TAB ***","43547-0275-11","-12048","6","420","3696.00","15.80","-23292.41%","-99.57%","0","1000"
"CARVEDILOL 6.25MG TAB ***","68382-0093-05","-33868","3","420","1008.00","6.92","-14466.47%","-99.31%","0","500"
"TRAZODONE 100MG TABLET","50111-0561-03","-19495","8","405","381.78","49.07","-678.03%","-87.15%","0","1000"
"IBUPROFEN 400MG TABLET","67877-0319-05","-6448","9","400","95.76","73.22","-30.78%","-23.54%","0","500"
"FREESTYLE LITE TEST  STRIP*****","99073-0708-22","-31150","3","400","1600.00","522.62","-206.15%","-67.34%","0","50"
"PEN NEEDLES 32G X 4 MM","56151-2114-01","-7080","3","400","72.24","113.00","36.07%","56.42%","0","100"
"ALBUTEROL HFA 108  MCG/AC (VENTOLIN 18GM) ***","66993-0019-68","-25182","16","396","1760.00","573.14","-207.08%","-67.44%","0","18"
"ALFUZOSIN HCL ER 10 MG TABLET","29300-0155-01","-4982","7","391","1876.80","30.24","-6106.35%","-98.39%","0","100"
"SYSTANE PRESERVATIVE FREE 0.4-0.3 % OPHTHALMIC SOLUTION","00065-0431-33","-7860","11","390","140.14","165.78","15.47%","18.3%","0","30"
